SF_Version 0.9.3
03-Sep-2024 23:12:15
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
273.4063 634.3997 256.1641 350.1095 743.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
287848.9141 1052.8248
287839.6302 1052.8150
287820.7208 1052.7953
287785.4201 1052.7583
287750.0731 1052.7213
287714.6800 1052.6841
287692.0782 1052.6604
287679.2282 1052.6468
287643.7082 1052.6093
287608.1419 1052.5717
287572.5292 1052.5340
287544.0345 1052.5038
287536.8632 1052.4962
287501.1233 1052.4581
287465.3368 1052.4199
287429.5038 1052.3817
287395.5018 1052.3453
287393.6224 1052.3433
287357.6617 1052.3047
287321.6543 1052.2659
287285.6001 1052.2271
287249.4993 1052.1882
287246.4816 1052.1849
287213.3198 1052.1490
287177.0906 1052.1097
287140.8146 1052.0703
287104.4915 1052.0308
287096.9767 1052.0226
287068.0939 1051.9911
287031.6421 1051.9512
286995.1432 1051.9113
286958.5971 1051.8712
286946.9898 1051.8585
286921.9801 1051.8309
286885.3047 1051.7905
286848.5821 1051.7500
286811.8121 1051.7093
286796.5231 1051.6924
286774.9743 1051.6685
286738.0745 1051.6275
286701.1272 1051.5864
286664.1323 1051.5452
286645.5783 1051.5245
286627.0724 1051.5038
286589.9472 1051.4622
286552.7742 1051.4206
286515.5535 1051.3788
286494.1574 1051.3547
286478.2700 1051.3368
286440.9184 1051.2947
286403.5189 1051.2524
286366.0714 1051.2100
286342.2620 1051.1830
286328.5629 1051.1675
286290.9839 1051.1248
286253.3568 1051.0819
286215.6814 1051.0390
286189.8938 1051.0095
286177.9465 1050.9959
286140.1391 1050.9525
286102.2833 1050.9091
286064.3790 1050.8656
286037.0544 1050.8341
286026.4162 1050.8219
285988.3793 1050.7780
285950.2938 1050.7340
285912.1595 1050.6898
285883.7452 1050.6569
285873.9673 1050.6456
285835.6999 1050.6011
285797.3835 1050.5565
285759.0182 1050.5117
285729.9678 1050.4778
285720.5951 1050.4669
285682.0960 1050.4218
285643.5477 1050.3766
285604.9502 1050.3312
285575.7235 1050.2969
285566.2947 1050.2858
285527.5628 1050.2401
285488.7814 1050.1943
285449.9507 1050.1484
285421.0136 1050.1141
285411.0611 1050.1023
285372.0953 1050.0560
285333.0798 1050.0096
285294.0146 1049.9631
285265.8396 1049.9295
285254.8895 1049.9164
285215.6886 1049.8695
285176.4377 1049.8225
285137.1369 1049.7754
285110.2027 1049.7430
285097.7747 1049.7281
285058.3375 1049.6806
285018.8502 1049.6329
284979.3127 1049.5852
284954.1042 1049.5547
284939.7116 1049.5373
284900.0371 1049.4892
284860.3121 1049.4409
284820.5366 1049.3926
284797.5456 1049.3646
284780.6952 1049.3440
284740.7821 1049.2953
284700.8183 1049.2464
284660.8038 1049.1974
284640.5280 1049.1726
284620.7203 1049.1483
