SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
357.0233 2300.0000 270.0000 596.3811 4279.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
403474.0586 1130.1057
403457.7146 1130.1093
403449.6390 1130.1110
403441.3607 1130.1128
403424.9969 1130.1164
403408.6281 1130.1199
403392.2541 1130.1234
403375.8750 1130.1269
403359.4908 1130.1304
403344.6829 1130.1336
403343.1005 1130.1339
403326.6965 1130.1374
403310.2873 1130.1409
403293.8729 1130.1444
403277.4535 1130.1478
403261.0288 1130.1513
403244.5990 1130.1548
403239.5951 1130.1558
403228.1573 1130.1582
403211.7076 1130.1616
403195.2527 1130.1651
403178.7926 1130.1685
403162.3273 1130.1719
403145.8568 1130.1753
403134.3754 1130.1777
403129.3781 1130.1787
403112.8877 1130.1821
403096.3920 1130.1854
403079.8910 1130.1888
403063.3849 1130.1922
403046.8735 1130.1955
403030.3569 1130.1989
403029.0228 1130.1992
403013.8262 1130.2022
402997.2895 1130.2055
402980.7475 1130.2089
402964.2003 1130.2122
402947.6478 1130.2155
402931.0901 1130.2188
402923.5361 1130.2203
402914.5218 1130.2221
402897.9439 1130.2253
402881.3607 1130.2286
402864.7722 1130.2319
402848.1785 1130.2351
402831.5794 1130.2384
402817.9150 1130.2411
402814.9733 1130.2416
402798.3540 1130.2449
402781.7293 1130.2481
402765.0994 1130.2513
402748.4641 1130.2545
402731.8234 1130.2577
402715.1775 1130.2609
402712.1583 1130.2615
402698.5183 1130.2641
402681.8520 1130.2672
402665.1803 1130.2704
402648.5033 1130.2735
402631.8209 1130.2767
402615.1332 1130.2798
402606.2654 1130.2815
402598.4356 1130.2829
402581.7274 1130.2861
402565.0139 1130.2892
402548.2949 1130.2923
402531.5706 1130.2954
402514.8408 1130.2984
402500.2357 1130.3011
402498.1045 1130.3015
402481.3542 1130.3046
402464.5986 1130.3076
402447.8375 1130.3107
402431.0710 1130.3137
402414.2991 1130.3168
402397.5217 1130.3198
402394.0680 1130.3204
402380.7312 1130.3228
402363.9333 1130.3258
402347.1299 1130.3288
402330.3210 1130.3318
402313.5067 1130.3348
402296.6869 1130.3377
402287.7618 1130.3393
402279.8570 1130.3407
402263.0166 1130.3436
402246.1706 1130.3466
402229.3192 1130.3495
402212.4622 1130.3524
402195.5998 1130.3554
402181.3166 1130.3578
402178.7303 1130.3583
402161.8471 1130.3612
402144.9584 1130.3640
402128.0642 1130.3669
402111.1645 1130.3698
402094.2592 1130.3727
402077.3483 1130.3755
402074.7314 1130.3760
402060.4237 1130.3784
402043.4921 1130.3812
402026.5549 1130.3840
402009.6121 1130.3868
401992.6638 1130.3896
401975.7099 1130.3924
401968.0053 1130.3937
401958.7451 1130.3952
401941.7703 1130.3980
401924.7899 1130.4008
401907.8039 1130.4035
401890.8123 1130.4063
401873.8151 1130.4090
401861.1382 1130.4111
401856.8098 1130.4118
401839.7916 1130.4145
401822.7678 1130.4172
401805.7384 1130.4199
401788.7034 1130.4226
401771.6627 1130.4253
401754.6164 1130.4280
401754.1292 1130.4281
401737.5549 1130.4306
401720.4876 1130.4333
401703.4145 1130.4359
401686.3358 1130.4386
401669.2515 1130.4412
401652.1615 1130.4438
401646.9772 1130.4446
401635.0589 1130.4464
401617.9478 1130.4490
401600.8309 1130.4516
401583.7084 1130.4542
401566.5801 1130.4568
401549.4462 1130.4594
401539.6821 1130.4608
401532.3023 1130.4619
401515.1471 1130.4644
401497.9863 1130.4670
401480.8197 1130.4695
401463.6473 1130.4720
401446.4693 1130.4745
401432.2433 1130.4766
401429.2838 1130.4770
401412.0844 1130.4795
401394.8793 1130.4820
401377.6685 1130.4844
401360.4519 1130.4869
401343.2295 1130.4894
401326.0014 1130.4918
401324.6601 1130.4920
401308.7584 1130.4942
401291.5089 1130.4966
401274.2536 1130.4990
401256.9925 1130.5014
401239.7257 1130.5038
401222.4530 1130.5062
401216.9315 1130.5070
401205.1678 1130.5086
401187.8737 1130.5109
401170.5738 1130.5133
401153.2680 1130.5156
401135.9564 1130.5180
401118.6390 1130.5203
401109.0576 1130.5216
401101.3114 1130.5226
401083.9725 1130.5249
401066.6277 1130.5272
401049.2771 1130.5295
401031.9206 1130.5317
401014.5583 1130.5340
401001.0376 1130.5358
400997.1879 1130.5363
400979.8040 1130.5385
400962.4142 1130.5407
400945.0185 1130.5429
400927.6169 1130.5452
400910.2095 1130.5474
400892.8711 1130.5496
400892.7961 1130.5496
400875.3670 1130.5517
400857.9320 1130.5539
400840.4911 1130.5561
400823.0442 1130.5582
400805.5915 1130.5603
400788.1328 1130.5625
400784.5571 1130.5629
400770.6603 1130.5646
400753.1799 1130.5667
400735.6936 1130.5688
400718.2013 1130.5709
400700.7030 1130.5730
400683.1988 1130.5750
400676.0955 1130.5759
400665.6828 1130.5771
400648.1567 1130.5791
400630.6248 1130.5812
400613.0868 1130.5832
400595.5429 1130.5852
400577.9930 1130.5872
400567.4859 1130.5884
400560.4331 1130.5892
400542.8613 1130.5912
400525.2835 1130.5932
400507.6997 1130.5952
400490.1099 1130.5971
400472.5141 1130.5991
400458.7279 1130.6006
400454.9101 1130.6010
400437.2923 1130.6029
400419.6685 1130.6048
400402.0387 1130.6067
400384.4028 1130.6086
400366.7610 1130.6105
400349.8209 1130.6123
400349.1126 1130.6124
400331.4487 1130.6142
400313.7787 1130.6161
400296.1027 1130.6179
400278.4206 1130.6198
400260.7324 1130.6216
400243.0382 1130.6234
400240.7644 1130.6236
400225.3292 1130.6252
400207.6129 1130.6270
400189.8904 1130.6287
400172.1619 1130.6305
400154.4273 1130.6323
400136.6866 1130.6340
400131.5580 1130.6345
400118.9327 1130.6357
400101.1698 1130.6375
400083.4008 1130.6392
400065.6257 1130.6409
400047.8445 1130.6426
400030.0571 1130.6443
400022.2015 1130.6450
400012.2581 1130.6459
399994.4484 1130.6476
399976.6327 1130.6492
399958.8108 1130.6509
399940.9827 1130.6525
399923.1486 1130.6541
399912.6945 1130.6551
399905.3041 1130.6557
399887.4475 1130.6573
399869.5849 1130.6589
399851.7160 1130.6605
399833.8410 1130.6620
399815.9598 1130.6636
399803.0367 1130.6647
399798.0696 1130.6651
399780.1660 1130.6666
399762.2562 1130.6681
399744.3403 1130.6697
399726.4181 1130.6712
399708.4897 1130.6726
399693.2277 1130.6739
399690.5536 1130.6741
399672.6028 1130.6756
399654.6457 1130.6770
399636.6824 1130.6785
399618.7129 1130.6799
399600.7371 1130.6813
399583.2673 1130.6827
399582.7549 1130.6827
399564.7566 1130.6841
399546.7521 1130.6855
399528.7413 1130.6869
399510.7243 1130.6882
399492.7010 1130.6896
399474.6715 1130.6910
399473.1549 1130.6911
399456.6265 1130.6923
399438.5743 1130.6936
399420.5159 1130.6949
399402.4512 1130.6962
399384.3802 1130.6975
399366.3030 1130.6988
399362.8903 1130.6990
399348.2112 1130.7000
399330.1113 1130.7013
399312.0051 1130.7025
399293.8925 1130.7037
399275.7737 1130.7050
399257.6485 1130.7062
399252.4735 1130.7065
399239.5098 1130.7074
399221.3619 1130.7085
399203.2077 1130.7097
399185.0472 1130.7109
399166.8803 1130.7120
399148.7071 1130.7132
399141.9041 1130.7136
399130.5212 1130.7143
399112.3251 1130.7154
399094.1228 1130.7165
399075.9140 1130.7176
399057.6990 1130.7187
399039.4775 1130.7198
399031.1819 1130.7203
399021.2442 1130.7208
399002.9999 1130.7219
398984.7492 1130.7229
398966.4921 1130.7239
398948.2286 1130.7249
398929.9588 1130.7260
398920.3066 1130.7265
398911.6778 1130.7270
398893.3850 1130.7279
398875.0858 1130.7289
398856.7803 1130.7298
398838.4683 1130.7308
398820.1499 1130.7317
398809.2782 1130.7323
398801.8210 1130.7327
398783.4796 1130.7336
398765.1317 1130.7345
398746.7775 1130.7353
398728.4168 1130.7362
398710.0497 1130.7371
398698.0964 1130.7377
398691.6726 1130.7379
398673.2825 1130.7388
398654.8858 1130.7396
398636.4828 1130.7404
398618.0732 1130.7412
398599.6573 1130.7420
398586.7610 1130.7426
398581.2318 1130.7428
398562.7927 1130.7436
398544.3471 1130.7443
398525.8950 1130.7451
398507.4365 1130.7458
398488.9715 1130.7465
398475.2718 1130.7471
398470.4974 1130.7473
398452.0091 1130.7480
398433.5144 1130.7486
398415.0132 1130.7493
398396.5056 1130.7500
398377.9914 1130.7506
398363.6288 1130.7511
398359.4684 1130.7513
398340.9309 1130.7519
398322.3869 1130.7525
398303.8364 1130.7531
398285.2794 1130.7537
398266.7159 1130.7543
398251.8318 1130.7548
398248.1438 1130.7549
398229.5569 1130.7554
398210.9635 1130.7560
398192.3636 1130.7565
398173.7571 1130.7570
398155.1440 1130.7575
398139.8807 1130.7580
398136.5226 1130.7581
398117.8862 1130.7585
398099.2432 1130.7590
398080.5936 1130.7595
398061.9375 1130.7599
398043.2748 1130.7604
398027.7753 1130.7607
398024.6039 1130.7608
398005.9177 1130.7612
397987.2250 1130.7616
397968.5257 1130.7620
397949.8198 1130.7624
397931.1073 1130.7627
397915.5156 1130.7630
397912.3865 1130.7631
397893.6505 1130.7634
397874.9079 1130.7638
397856.1587 1130.7641
397837.4029 1130.7644
397818.6404 1130.7647
397803.1016 1130.7649
397799.8696 1130.7650
397781.0836 1130.7652
397762.2909 1130.7655
397743.4917 1130.7657
397724.6858 1130.7660
397705.8733 1130.7662
397690.5331 1130.7664
397687.0522 1130.7664
397668.2160 1130.7666
397649.3732 1130.7668
397630.5237 1130.7669
397611.6676 1130.7671
397592.8048 1130.7673
397577.8101 1130.7674
397573.9333 1130.7674
397555.0468 1130.7675
397536.1536 1130.7676
397517.2538 1130.7677
397498.3473 1130.7678
397479.4342 1130.7679
397464.9326 1130.7679
397460.5119 1130.7680
397441.5749 1130.7680
397422.6313 1130.7680
397403.6810 1130.7680
397384.7240 1130.7681
397365.7603 1130.7681
397351.9005 1130.7681
397346.7871 1130.7681
397327.7996 1130.7680
397308.8053 1130.7680
397289.8044 1130.7679
397270.7967 1130.7679
397251.7823 1130.7678
397238.7138 1130.7678
397232.7580 1130.7677
397213.7197 1130.7676
397194.6747 1130.7675
397175.6230 1130.7674
397156.5645 1130.7672
397137.4993 1130.7671
397125.3726 1130.7670
397118.4235 1130.7669
397099.3344 1130.7668
397080.2385 1130.7666
397061.1358 1130.7664
397042.0264 1130.7662
397022.9103 1130.7659
397011.8767 1130.7658
397003.7829 1130.7657
396984.6427 1130.7654
396965.4958 1130.7652
396946.3420 1130.7649
396927.1816 1130.7646
396908.0143 1130.7643
396898.2262 1130.7642
396888.8351 1130.7640
396869.6437 1130.7637
396850.4456 1130.7633
396831.2407 1130.7630
