SF_Version 0.9.3
03-Sep-2024 23:12:15
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
256.1641 350.1095 251.1191 207.5930 336.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
266707.0422 1041.1570
266695.0568 1041.1735
266685.1213 1041.1868
266675.0786 1041.1998
266664.9286 1041.2125
266656.9948 1041.2221
266654.6672 1041.2249
266644.2852 1041.2370
266633.7951 1041.2487
266623.1968 1041.2601
266612.4900 1041.2713
266601.6746 1041.2821
266590.7503 1041.2926
266579.7169 1041.3029
266574.6862 1041.3074
266568.5649 1041.3127
266557.2957 1041.3223
266545.9168 1041.3315
266534.4279 1041.3405
266522.8288 1041.3491
266511.1193 1041.3574
266499.2992 1041.3654
266487.3756 1041.3731
266487.3682 1041.3731
266475.3090 1041.3804
266463.1384 1041.3874
266450.8563 1041.3941
266438.4625 1041.4005
266425.9566 1041.4066
266413.3386 1041.4123
266400.6081 1041.4178
266395.2204 1041.4199
266387.7548 1041.4228
266374.7812 1041.4276
266361.6946 1041.4320
266348.4945 1041.4361
266335.1809 1041.4399
266321.7534 1041.4433
266308.2118 1041.4465
266298.3908 1041.4485
266294.5510 1041.4493
266280.7629 1041.4517
266266.8600 1041.4538
266252.8420 1041.4556
266238.7088 1041.4571
266224.4601 1041.4582
266210.0957 1041.4590
266197.0322 1041.4594
266195.6135 1041.4595
266180.9988 1041.4595
266166.2676 1041.4593
266151.4197 1041.4587
266136.4548 1041.4578
266121.3728 1041.4566
266106.1732 1041.4550
266091.2819 1041.4532
266090.8554 1041.4531
266075.4019 1041.4508
266059.8301 1041.4481
266044.1398 1041.4452
266028.3308 1041.4419
266012.4029 1041.4382
265996.3556 1041.4342
265981.2702 1041.4302
265980.1877 1041.4299
265963.8826 1041.4251
265947.4574 1041.4201
265930.9120 1041.4146
265914.2460 1041.4089
265897.4592 1041.4028
265880.5514 1041.3963
265867.1200 1041.3910
265863.5182 1041.3895
265846.3484 1041.3823
265829.0568 1041.3747
265811.6430 1041.3668
265794.1068 1041.3586
265776.4479 1041.3500
265758.6660 1041.3410
265748.9475 1041.3360
265740.7521 1041.3317
265722.7042 1041.3220
265704.5325 1041.3119
265686.2368 1041.3014
265667.8167 1041.2906
265649.2719 1041.2795
265630.6022 1041.2680
265626.8627 1041.2656
265611.7918 1041.2561
265592.8519 1041.2438
265573.7863 1041.2311
265554.5946 1041.2181
265535.2766 1041.2047
265515.8319 1041.1910
265500.9650 1041.1802
265496.2556 1041.1768
265476.5370 1041.1623
265456.6910 1041.1474
265436.7171 1041.1321
265416.6151 1041.1164
265396.3848 1041.1004
265376.0258 1041.0840
265371.3531 1041.0802
265355.5224 1041.0672
265334.8851 1041.0500
265314.1183 1041.0324
265293.2215 1041.0145
265272.1947 1040.9962
265251.0373 1040.9775
