SF_Version 0.9.3
19-Aug-2024 12:36:46
Temp(K) Pressure(MPa) Temp(K) Pressure(MPa)  Points 
210.1090 391.0000 269.6634 340.0000 698.0000
###########################################################
D H (J/kg)  D S (J/(K*kg)
10060.0436 71927.2342
10062.1068 71858.2001
10064.3651 71782.2486
10066.6136 71706.2100
10068.8526 71630.0841
10071.0819 71553.8709
10071.5069 71539.2886
10073.3008 71477.5567
10075.5099 71401.1518
10077.7093 71324.6594
10079.8992 71248.0795
10082.0793 71171.4120
10082.7340 71148.3003
10084.2492 71094.6451
10086.4092 71017.7853
10088.5595 70940.8379
10090.7002 70863.8026
10092.8313 70786.6796
10093.7239 70754.2392
10094.9522 70709.4588
10097.0631 70632.1430
10099.1643 70554.7391
10101.2559 70477.2473
10103.3379 70399.6673
10104.4757 70357.0749
10105.4099 70321.9916
10107.4717 70244.2184
10109.5240 70166.3570
10111.5666 70088.4073
10113.5996 70010.3693
10114.9887 69956.7769
10115.6227 69932.2376
10117.6356 69854.0059
10119.6389 69775.6857
10121.6326 69697.2770
10123.6168 69618.7797
10125.2624 69553.3146
10125.5912 69540.1910
10127.5553 69461.4995
10129.5098 69382.7194
10131.4547 69303.8505
10133.3901 69224.8929
10135.2963 69146.6572
10135.3160 69145.8462
10137.2314 69066.6940
10139.1373 68987.4528
10141.0337 68908.1227
10142.9205 68828.7036
10144.7979 68749.1955
10145.0901 68736.7681
10146.6649 68669.5840
10148.5224 68589.8808
10150.3704 68510.0884
10152.2089 68430.2069
10154.0379 68350.2360
10154.6439 68323.6208
10155.8569 68270.1647
10157.6661 68189.9984
10159.4659 68109.7428
10161.2563 68029.3977
10163.0373 67948.9633
10163.9577 67907.1847
10164.8085 67868.4312
10166.5697 67787.8010
10168.3216 67707.0812
10170.0642 67626.2718
10171.7974 67545.3727
10173.0317 67487.4284
10173.5210 67464.3793
10175.2346 67383.2841
10176.9389 67302.0992
10178.6339 67220.8246
10180.3196 67139.4602
10181.8664 67064.3206
10181.9959 67058.0046
10183.6622 66976.4437
10185.3192 66894.7929
10186.9670 66813.0522
10188.6055 66731.2216
10190.2349 66649.3009
10190.4622 66637.8240
10191.8543 66567.2759
10193.4643 66485.1584
10195.0652 66402.9509
10196.6570 66320.6533
10198.2396 66238.2655
10198.8199 66207.9089
10199.8126 66155.7770
10201.3761 66073.1922
10202.9305 65990.5171
10204.4759 65907.7518
10206.0122 65824.8962
10206.9404 65774.5469
10207.5391 65741.9438
10209.0565 65658.8909
10210.5648 65575.7477
10212.0642 65492.5141
10213.5546 65409.1900
10214.8248 65337.7063
10215.0360 65325.7732
10216.5076 65242.2517
10217.9703 65158.6396
10219.4242 65074.9371
10220.8692 64991.1441
10222.3053 64907.2605
10222.4742 64897.3502
10223.7318 64823.2717
10225.1494 64739.1903
10226.5582 64655.0183
10227.9583 64570.7558
10229.3495 64486.4025
10229.8902 64453.4452
10230.7315 64401.9485
10232.1045 64317.3973
10233.4688 64232.7555
10234.8244 64148.0229
10236.1713 64063.1995
10237.0743 64005.9655
10237.5094 63978.2800
10238.8382 63893.2586
10240.1584 63808.1464
10241.4701 63722.9434
10242.7733 63637.6495
10244.0284 63554.8795
10244.0679 63552.2643
10245.3532 63466.7722
10246.6300 63381.1893
10247.8983 63295.5154
10249.1582 63209.7507
10250.4097 63123.8950
10250.7540 63100.1424
10251.6521 63037.9364
10252.8859 62951.8823
10254.1114 62865.7372
10255.3285 62779.5012
10256.5373 62693.1741
10257.2529 62641.7325
10257.7375 62606.7493
10258.9288 62520.2237
10260.1119 62433.6070
10261.2867 62346.8993
10262.4534 62260.1004
10263.5266 62179.6184
10263.6117 62173.2093
10264.7611 62086.2118
10265.9023 61999.1231
10267.0353 61911.9433
10268.1602 61824.6724
10269.2770 61737.3102
10269.5764 61713.7546
10270.3851 61649.8449
10271.4849 61562.2839
10272.5766 61474.6317
10273.6602 61386.8882
10274.7359 61299.0535
10275.4038 61244.1163
10275.8032 61211.1213
10276.8619 61123.0877
10277.9127 61034.9627
10278.9556 60946.7464
10279.9905 60858.4387
10281.0101 60770.6734
10281.0174 60770.0396
10282.0356 60681.5329
10283.0459 60592.9348
10284.0484 60504.2453
10285.0430 60415.4644
10286.0297 60326.5921
10286.3961 60293.3737
10287.0081 60237.6180
10287.9783 60148.5465
10288.9407 60059.3834
10289.8954 59970.1289
10290.8423 59880.7829
10291.5631 59812.2001
10291.7812 59791.3416
10292.7118 59701.7962
10293.6346 59612.1593
10294.5497 59522.4308
10295.4572 59432.6108
10296.3569 59342.6992
10296.5119 59327.1096
10297.2483 59252.6825
10298.1318 59162.5714
10299.0078 59072.3687
10299.8761 58982.0743
10300.7368 58891.6883
10301.2433 58838.0633
10301.5896 58801.2039
10302.4342 58710.6183
10303.2713 58619.9409
10304.1008 58529.1719
10304.9228 58438.3111
10305.7373 58347.3586
10305.7580 58345.0362
10306.5434 58256.2984
10307.3420 58165.1461
10308.1331 58073.9021
10308.9167 57982.5662
10309.6928 57891.1385
10310.0562 57847.9720
10310.4611 57799.6105
10311.2214 57707.9829
10311.9744 57616.2635
10312.7199 57524.4522
10313.4580 57432.5491
10314.1388 57346.8553
10314.1886 57340.5529
10314.9111 57248.4497
10315.6261 57156.2547
10316.3338 57063.9677
10317.0342 56971.5887
10317.7272 56879.1178
10318.0057 56841.6278
10318.4123 56786.5452
10319.0898 56693.8742
10319.7600 56601.1111
10320.4228 56508.2560
10321.0784 56415.3089
10321.6573 56332.2694
10321.7266 56322.2679
10322.3667 56229.1205
10322.9996 56135.8811
10323.6252 56042.5495
10324.2435 55949.1258
10324.8547 55855.6100
10325.0934 55818.7245
10325.4580 55761.9923
10326.0538 55668.2761
10326.6424 55574.4678
10327.2238 55480.5672
10327.7980 55386.5745
10328.3141 55300.9697
10328.3649 55292.4881
10328.9239 55198.2949
10329.4757 55104.0094
10330.0203 55009.6316
10330.5577 54915.1616
10331.0881 54820.5993
10331.3191 54778.9475
10331.6108 54725.9357
10332.1260 54631.1728
10332.6340 54536.3175
10333.1350 54441.3698
10333.6288 54346.3299
10334.1082 54252.6373
10334.1155 54251.1973
10334.5943 54155.9565
10335.0660 54060.6233
10335.5305 53965.1977
10335.9881 53869.6797
10336.4385 53774.0692
10336.6806 53721.9732
10336.8815 53678.3590
10337.3170 53582.5476
10337.7454 53486.6437
10338.1667 53390.6473
10338.5811 53294.5584
10338.9883 53198.3769
10339.0362 53186.9371
10339.3878 53102.0888
10339.7802 53005.7062
10340.1656 52909.2311
10340.5439 52812.6634
10340.9152 52716.0030
10341.1739 52647.4684
10341.2793 52619.2453
10341.6358 52522.3838
10341.9853 52425.4295
10342.3277 52328.3826
10342.6632 52231.2430
10342.9917 52134.0107
10343.0930 52103.5334
10343.3127 52036.6747
10343.6264 51939.2410
10343.9331 51841.7145
10344.2328 51744.0952
10344.5256 51646.3832
10344.7926 51555.0898
10344.8114 51548.5773
10345.0894 51450.6638
10345.3605 51352.6574
10345.6245 51254.5581
10345.8817 51156.3660
10346.1319 51058.0810
10346.2711 51002.0780
10346.3748 50959.6962
10346.6102 50861.2095
10346.8387 50762.6299
10347.0603 50663.9573
10347.2749 50565.1917
10347.4826 50466.3332
10347.5275 50444.4696
10347.6827 50367.3693
10347.8757 50268.3089
10348.0617 50169.1554
10348.2408 50069.9089
10348.4130 49970.5693
10348.5601 49882.2106
10348.5781 49871.1348
10348.7355 49771.5932
10348.8860 49671.9585
10349.0296 49572.2306
10349.1663 49472.4095
10349.2960 49372.4953
10349.3670 49315.2467
10349.4184 49272.4811
10349.5334 49172.3647
10349.6415 49072.1550
10349.7426 48971.8521
10349.8368 48871.4559
10349.9240 48770.9663
10349.9465 48743.5419
10350.0037 48670.3721
10350.0762 48569.6802
10350.1418 48468.8950
10350.2005 48368.0164
10350.2522 48267.0444
10350.2965 48167.0457
10350.2969 48165.9788
10350.3338 48064.8043
10350.3638 47963.5363
10350.3869 47862.1749
10350.4030 47760.7199
10350.4121 47659.1715
10350.4142 47585.6914
10350.4140 47557.5252
10350.4084 47455.7740
10350.3958 47353.9293
10350.3762 47251.9910
10350.3496 47149.9590
10350.3161 47047.8335
10350.2976 46999.4440
10350.2751 46945.6060
10350.2268 46843.2775
10350.1714 46740.8553
10350.1091 46638.3394
10350.0398 46535.7298
10349.9634 46433.0264
10349.9439 46408.2503
10349.8795 46330.2174
10349.7883 46227.3108
10349.6901 46124.3105
10349.5849 46021.2163
10349.4727 45918.0282
10349.3534 45814.7463
10349.3502 45812.0563
10349.2263 45711.3553
10349.0921 45607.8700
10348.9509 45504.2907
10348.8027 45400.6175
10348.6474 45296.8503
10348.5132 45210.7956
10348.4849 45192.9864
10348.3146 45089.0156
10348.1373 44984.9508
10347.9529 44880.7918
10347.7614 44776.5388
10347.5629 44672.1917
10347.4301 44604.4222
10347.3569 44567.7449
10347.1434 44463.1940
10346.9227 44358.5488
10346.6949 44253.8094
10346.4600 44148.9758
10346.2180 44044.0480
10346.0973 43992.8805
10345.9684 43939.0179
10345.7113 43833.8860
10345.4471 43728.6597
10345.1757 43623.3391
10344.8971 43517.9241
10344.6114 43412.4147
10344.5114 43376.1118
10344.3180 43306.8007
10344.0172 43201.0870
10343.7091 43095.2788
10343.3939 42989.3761
10343.0714 42883.3789
10342.7418 42777.2871
10342.6686 42754.0561
10342.4043 42671.0887
10342.0594 42564.7923
10341.7073 42458.4013
10341.3480 42351.9157
10340.9814 42245.3353
10340.6075 42138.6603
10340.5649 42126.6523
10340.2257 42031.8769
10339.8365 41924.9970
10339.4400 41818.0223
10339.0363 41710.9529
10338.6253 41603.7885
10338.2069 41496.5294
10338.1963 41493.8378
10337.7805 41389.1604
10337.3467 41281.6960
10336.9056 41174.1368
10336.4571 41066.4826
10336.0013 40958.7333
10335.5582 40855.5457
10335.5381 40850.8884
10335.0667 40742.9339
10334.5880 40634.8842
10334.1019 40526.7394
10333.6084 40418.4995
10333.1075 40310.1644
10332.6461 40211.7133
10332.5990 40201.7327
10332.0824 40093.1920
10331.5584 39984.5560
10331.0269 39875.8248
10330.4880 39766.9982
10329.9416 39658.0763
10329.4551 39562.2756
10329.3876 39549.0572
10328.8253 39439.9293
10328.2556 39330.7060
10327.6784 39221.3873
10327.0936 39111.9731
10326.5013 39002.4633
10325.9800 38907.1642
10325.9013 38892.8561
10325.2930 38783.1400
10324.6771 38673.3284
10324.0537 38563.4212
10323.4227 38453.4183
10322.7840 38343.3196
10322.2153 38246.3093
10322.1376 38233.1235
10321.4828 38122.8183
10320.8204 38012.4173
10320.1503 37901.9205
10319.4725 37791.3278
10318.7870 37680.6393
10318.1553 37579.6394
10318.0937 37569.8535
